x,y,z,x_sym,y_sym,z_sym
632200,295853,60000,1685241,250642,154103
632200,295853,80000,1683465,250705,173972
632200,295853,100000,1681688,250768,193840
632200,295853,120000,1679911,250831,213709
632200,295853,140000,1678135,250894,233577
632200,295853,160000,1676358,250957,253446
632200,295853,180000,1674581,251021,273314
632200,295853,200000,1672805,251084,293183
632200,315853,60000,1686459,270598,154193
632200,315853,80000,1684682,270661,174062
632200,315853,100000,1682906,270725,193930
632200,315853,120000,1681129,270788,213799
632200,315853,140000,1679352,270851,233668
632200,315853,160000,1677576,270914,253536
632200,315853,180000,1675799,270977,273405
632200,335853,80000,1685900,290618,174152
632200,335853,100000,1684123,290681,194021
632200,335853,120000,1682346,290744,213889
632200,335853,140000,1680570,290808,233758
632200,335853,160000,1678793,290871,253626
632200,335853,180000,1677017,290934,273495
652200,95853,120000,1687561,49848,215755
652200,95853,140000,1685784,49911,235624
652200,95853,160000,1684008,49974,255492
652200,115853,80000,1692332,69678,176108
652200,115853,100000,1690555,69741,195977
652200,115853,120000,1688779,69805,215845
652200,115853,140000,1687002,69868,235714
652200,115853,160000,1685225,69931,255582
652200,115853,180000,1683449,69994,275451
652200,135853,60000,1695326,89572,156330
652200,135853,80000,1693549,89635,176198
652200,135853,100000,1691773,89698,196067
652200,135853,120000,1689996,89761,215935
652200,135853,140000,1688219,89824,235804
652200,135853,160000,1686443,89888,255672
652200,135853,180000,1684666,89951,275541
652200,135853,200000,1682889,90014,295409
