x,y,z,x_sym,y_sym,z_sym
612200,215853,140000,602768,212176,155656
612200,215853,160000,600958,212793,173692
612200,215853,180000,597963,212139,192045
612200,235853,20000,608864,224730,37680
612200,235853,40000,607633,227077,56123
612200,235853,60000,611116,230331,76674
612200,235853,80000,614118,228808,98263
612200,235853,100000,609598,229010,117582
612200,235853,120000,606762,231028,137083
612200,235853,140000,603637,233191,154529
612200,235853,160000,602130,232093,173688
612200,235853,180000,599443,232911,192464
612200,255853,20000,607353,244052,37330
612200,255853,40000,606372,244171,57488
612200,255853,60000,609783,245545,74953
612200,255853,80000,613335,247193,96089
612200,255853,100000,609775,249114,115830
612200,255853,120000,605878,250663,136285
612200,255853,140000,603168,251126,154655
612200,255853,160000,603471,250861,176050
612200,255853,180000,600495,252580,193477
612200,255853,200000,597233,253960,211590
612200,275853,20000,608248,264364,35831
612200,275853,40000,608103,262520,54459
612200,275853,100000,609823,267413,115174
612200,275853,120000,606977,269272,133981
612200,275853,140000,602662,270593,154185
612200,275853,160000,600639,271233,174468
612200,275853,180000,599077,269950,196204
612200,275853,200000,597383,270566,212325
612200,295853,60000,616028,281857,77696
612200,295853,80000,614391,283445,94576
612200,295853,100000,608563,287228,108554
612200,295853,120000,607471,287327,134307
612200,295853,140000,601234,289385,152846
612200,295853,160000,600735,289105,173892
612200,295853,180000,598728,288342,193560
612200,295853,200000,598004,288231,212693
612200,315853,100000,611338,306605,110513
612200,315853,120000,606999,305974,133093
612200,315853,140000,600992,307880,151298
612200,315853,160000,599604,308552,171468
612200,315853,180000,598916,307619,192280
612200,335853,120000,607065,327571,132361
612200,335853,140000,603409,328069,151980
612200,335853,160000,601372,327426,172107
632200,95853,100000,617873,84996,113652
632200,95853,120000,616097,87204,135646
632200,95853,140000,613974,88239,155147
632200,115853,80000,620985,105275,97953
632200,115853,100000,621708,105104,118337
632200,115853,120000,617531,108007,138060
632200,115853,140000,613617,107955,155937
632200,115853,160000,613053,107524,174064
632200,135853,60000,624412,124456,83208
632200,135853,80000,623603,124587,102548
632200,135853,100000,621851,127042,119913
632200,135853,120000,616931,126553,140093
632200,135853,140000,614091,126751,159576
632200,135853,160000,613863,127837,177267
632200,135853,180000,614173,130874,195211
632200,155853,60000,625240,145135,85187
632200,155853,80000,623891,143048,104476
632200,155853,100000,621166,146087,121950
632200,155853,120000,618249,146778,142095
632200,155853,140000,616002,148102,159337
632200,155853,160000,616590,147290,177864
632200,155853,180000,618873,153714,197588
632200,175853,60000,627956,166965,86275
632200,175853,80000,625636,166544,106172
632200,175853,100000,623107,166648,122857
632200,175853,120000,619467,170526,141307
632200,175853,140000,618274,172503,157798
632200,175853,160000,616928,169507,177931
632200,175853,180000,618153,173147,198779
632200,195853,80000,629066,183904,107143
632200,195853,100000,626597,187331,126782
632200,195853,120000,621814,191015,141625
